concentration_mmc,computed_bulk_density_kg_m3,gromacs_mean_density_kg_m3,gromacs_std_kg_m3,total_mass_kg,volume_m3,n_gromacs_points,source_file
2,972.404900,958.223513,5.270338,0.000000,1.318489131e-25,24,2_mmc\density.xvg
4,973.285391,958.731679,4.355580,0.000000,1.318489131e-25,24,4_mmc\density.xvg
8,977.542113,963.803497,4.067332,0.000000,1.318489131e-25,24,8_mmc\density.xvg
12,981.118179,966.108350,4.694282,0.000000,1.318489131e-25,24,12_mmc\density.xvg
16,985.828673,969.511833,4.188727,0.000000,1.318489131e-25,24,16_mmc\density.xvg
20,988.270310,972.613289,5.881326,0.000000,1.318489131e-25,24,20_mmc\density.xvg
24,991.392605,977.466306,4.666474,0.000000,1.318489131e-25,24,24_mmc\density.xvg
28,995.876213,980.294474,3.368534,0.000000,1.318489131e-25,24,28_mmc\density.xvg
32,1000.813592,981.393832,4.370475,0.000000,1.318489131e-25,24,32_mmc\density.xvg
36,1010.288685,984.010737,4.354197,0.000000,1.318489131e-25,24,36_mmc\density.xvg
40,1006.377524,988.163228,4.302062,0.000000,1.318489131e-25,24,40_mmc\density.xvg
44,1007.684733,990.993983,4.797145,0.000000,1.318489131e-25,24,44_mmc\density.xvg
48,1018.974911,993.817210,4.876783,0.000000,1.318489131e-25,24,48_mmc\density.xvg
52,1023.004748,997.967244,4.384414,0.000000,1.318489131e-25,24,52_mmc\density.xvg
56,1026.807700,1001.738263,4.458719,0.000000,1.318489131e-25,24,56_mmc\density.xvg
60,1031.518194,1004.974047,5.478975,0.000000,1.318489131e-25,24,60_mmc\density.xvg
64,1032.371631,1007.206963,4.472330,0.000000,1.318489131e-25,24,64_mmc\density.xvg
68,1028.006699,1011.478579,4.242060,0.000000,1.318489131e-25,24,68_mmc\density.xvg
72,1041.338848,1014.045306,3.954313,0.000000,1.318489131e-25,24,72_mmc\density.xvg
76,1043.780485,1017.645315,3.851668,0.000000,1.318489131e-25,24,76_mmc\density.xvg
80,1053.482464,1020.606758,3.791441,0.000000,1.318489131e-25,24,80_mmc\density.xvg
84,1056.831644,1025.156665,4.909457,0.000000,1.318489131e-25,24,84_mmc\density.xvg
88,1059.953938,1027.208346,3.929401,0.000000,1.318489131e-25,24,88_mmc\density.xvg
92,1055.589006,1031.426364,4.679403,0.000000,1.318489131e-25,24,92_mmc\density.xvg
96,1070.736240,1032.934087,4.040414,0.000000,1.318489131e-25,24,96_mmc\density.xvg
100,1077.942476,1036.503433,6.307765,0.000000,1.318489131e-25,24,100_mmc\density.xvg
